DR Smith (WI),2006-2015,33,11,23.4,0,212,7,Mar-24,30.28,8.95,20.2,0,0,T20,Bowling
S Sreesanth (India),2006-2008,10,9,34,2,288,7,2-Dec,41.14,8.47,29.1,0,0,T20,Bowling
Tanwir Afzal (HK),2014-2015,8,8,27,2,176,7,2-Aug,25.14,6.51,23.1,0,0,T20,Bowling
T Thushara (SL),2008-2010,6,6,22,0,179,7,Feb-37,25.57,8.13,18.8,0,0,T20,Bowling
JC Tredwell (Eng),2012-2014,17,15,52.5,0,416,7,Jan-16,59.42,7.87,45.2,0,0,T20,Bowling
PA van Meekeren (Neth),2013-2015,10,10,29,2,175,7,2-Aug,25,6.03,24.8,0,0,T20,Bowling
Anwar Ali (Pak),2008-2015,11,10,27,0,230,6,Feb-27,38.33,8.51,27,0,0,T20,Bowling
WD Balaji Rao (Can),2008-2008,4,4,14,0,107,6,Mar-21,17.83,7.64,14,0,0,T20,Bowling
TL Best (WI),2013-2014,6,6,20,0,154,6,Mar-18,25.66,7.7,20,0,0,T20,Bowling
D Bishoo (WI),2011-2011,4,4,15.4,0,98,6,Apr-17,16.33,6.25,15.6,1,0,T20,Bowling
JAR Blain (Scot),2007-2008,6,5,20,0,108,6,Feb-23,18,5.4,20,0,0,T20,Bowling
