RR Hendricks (SA),2014-2015,5,5,0,121,49,24.2,117,103.41,0,0,1,13,1,T20,Batting
DR Martyn (Aus),2005-2006,4,4,0,120,96,30,74,162.16,0,1,0,11,5,T20,Batting
SCJ Broad (Eng),2006-2014,56,26,10,118,18*,7.37,118,100,0,0,2,7,3,T20,Batting
Ziaur Rahman (Ban),2012-2014,14,12,3,117,40*,13,91,128.57,0,0,3,3,10,T20,Batting
Shahzaib Hasan (Pak),2009-2010,10,10,0,116,35,11.6,130,89.23,0,0,3,13,3,T20,Batting
S Dhawan (India),2011-2015,8,8,0,115,33,14.37,111,103.6,0,0,1,14,2,T20,Batting
DL Maddy (Eng),2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3,T20,Batting
SP Khakurel (Nepal),2014-2015,8,8,0,112,56,14,139,80.57,0,1,0,10,1,T20,Batting
AP Devcich (NZ),2013-2014,4,4,0,111,59,27.75,79,140.5,0,1,0,17,2,T20,Batting
SP Fleming (NZ),2005-2006,5,5,0,110,38,22,85,129.41,0,0,0,20,0,T20,Batting
MG Johnson (Aus),2007-2013,30,17,7,109,28*,10.9,95,114.73,0,0,2,8,3,T20,Batting
Harbhajan Singh (India),2006-2015,27,13,5,108,21,13.5,87,124.13,0,0,1,11,4,T20,Batting
B Zuiderent (Neth),2009-2010,6,6,1,108,43*,21.6,124,87.09,0,0,0,8,1,T20,Batting
Nizakat Khan (HK),2014-2015,7,7,0,106,26,15.14,99,107.07,0,0,1,5,5,T20,Batting
Sabbir Rahman (Ban),2014-2015,8,7,2,106,51*,21.2,105,100.95,0,1,0,10,2,T20,Batting
JR Hopes (Aus),2005-2010,12,7,2,105,30,21,98,107.14,0,0,0,7,1,T20,Batting
HG Munsey (Scot),2015-2015,8,6,2,105,62*,26.25,76,138.15,0,1,2,18,1,T20,Batting
WD Parnell (SA),2009-2015,35,9,6,104,29*,34.66,85,122.35,0,0,0,9,3,T20,Batting
GP Swann (Eng),2008-2012,39,16,11,104,34,20.8,89,116.85,0,0,2,9,1,T20,Batting
SM Davies (Eng),2009-2011,5,5,0,102,33,20.4,82,124.39,0,0,0,12,0,T20,Batting
JDS Neesham (NZ),2012-2015,13,10,3,102,28,14.57,76,134.21,0,0,1,12,3,T20,Batting
Sharjeel Khan (Pak),2013-2013,3,3,0,102,50,34,72,141.66,0,1,0,10,4,T20,Batting
B Lee (Aus),2005-2012,25,12,6,101,43*,16.83,71,142.25,0,0,2,9,4,T20,Batting
JJ Atkinson (HK),2014-2015,8,7,0,100,47,14.28,96,104.16,0,0,2,12,3,T20,Batting
S Dhaniram (Can),2008-2010,11,9,0,100,26,11.11,123,81.3,0,0,0,6,2,T20,Batting
KD Karthik (India),2006-2010,9,8,2,100,31*,16.66,88,113.63,0,0,1,14,1,T20,Batting
SP Patil (UAE),2014-2015,6,6,0,98,34,16.33,112,87.5,0,0,1,10,0,T20,Batting
JP Faulkner (Aus),2012-2014,11,8,4,97,41*,24.25,90,107.77,0,0,0,3,3,T20,Batting
