Mushfiqur Rahim (Ban),2005-2015,48,88,6,2650,200,32.31,3,15,8,Test,Batting
Kamran Akmal (Pak),2002-2010,53,92,6,2648,158*,30.79,6,12,14,Test,Batting
JA Rudolph (SA),2003-2012,48,83,9,2622,222*,35.43,6,11,8,Test,Batting
FM Engineer (India),1961-1975,46,87,3,2611,121,31.08,2,16,7,Test,Batting
WW Hinds (WI),2000-2005,45,80,1,2608,213,33.01,5,14,6,Test,Batting
Sadiq Mohammad (Pak),1969-1981,41,74,2,2579,166,35.81,5,10,6,Test,Batting
RD Jacobs (WI),1998-2004,65,112,21,2577,118,28.31,3,14,12,Test,Batting
RS Mahanama (SL),1986-1998,52,89,1,2576,225,29.27,4,11,7,Test,Batting
C Washbrook (Eng),1937-1956,37,66,6,2569,195,42.81,6,12,2,Test,Batting
GS Blewett (Aus),1995-2000,46,79,4,2552,214,34.02,4,15,6,Test,Batting
JN Rhodes (SA),1992-2000,52,80,9,2532,117,35.66,3,17,4,Test,Batting
GP Howarth (NZ),1975-1985,47,83,5,2531,147,32.44,6,11,7,Test,Batting
SM Nurse (WI),1960-1969,29,54,1,2523,258,47.6,6,10,3,Test,Batting
EJ Barlow (SA),1961-1970,30,57,2,2516,201,45.74,6,15,3,Test,Batting
TL Goddard (SA),1955-1970,41,78,5,2516,112,34.46,1,18,4,Test,Batting
A Kumble (India),1990-2008,132,173,32,2506,110*,17.77,1,5,17,Test,Batting
BL D'Oliveira (Eng),1966-1972,44,70,8,2484,158,40.06,5,15,4,Test,Batting
AL Logie (WI),1983-1991,52,78,9,2470,130,35.79,2,16,8,Test,Batting
DW Randall (Eng),1977-1984,47,79,5,2470,174,33.37,7,12,14,Test,Batting
W Bardsley (Aus),1909-1926,41,66,5,2469,193*,40.47,6,14,6,Test,Batting
KR Rutherford (NZ),1985-1995,56,99,8,2465,107*,27.08,3,18,16,Test,Batting
AP Gurusinha (SL),1985-1996,41,70,7,2452,143,38.92,7,8,3,Test,Batting
P Roy (India),1951-1960,43,79,4,2442,173,32.56,5,9,14,Test,Batting
WJ Edrich (Eng),1938-1955,39,63,2,2440,219,40,6,13,3,Test,Batting
DJ McGlew (SA),1951-1962,34,64,6,2440,255*,42.06,7,10,4,Test,Batting
TG Evans (Eng),1946-1959,91,133,14,2439,104,20.49,2,8,17,Test,Batting
SCJ Broad (Eng),2007-2015,85,121,15,2436,169,22.98,1,10,18,Test,Batting
LEG Ames (Eng),1929-1939,47,72,12,2434,149,40.56,8,7,5,Test,Batting
M Vijay (India),2008-2015,33,58,0,2420,167,41.72,6,11,4,Test,Batting
JHB Waite (SA),1951-1965,50,86,7,2405,134,30.44,4,16,9,Test,Batting
Imran Farhat (Pak),2001-2013,40,77,2,2400,128,32,3,14,3,Test,Batting
Asad Shafiq (Pak),2010-2015,39,61,5,2384,137,42.57,8,11,3,Test,Batting
MR Ramprakash (Eng),1991-2002,52,92,6,2350,154,27.32,2,12,12,Test,Batting
W Rhodes (Eng),1899-1930,58,98,21,2325,179,30.19,2,11,6,Test,Batting
GT Dowling (NZ),1961-1972,39,77,3,2306,239,31.16,3,11,6,Test,Batting
WM Woodfull (Aus),1926-1934,35,54,4,2300,161,46,7,13,6,Test,Batting
TE Bailey (Eng),1949-1959,61,91,14,2290,134*,29.74,1,10,7,Test,Batting
PJP Burge (Aus),1955-1966,42,68,8,2290,181,38.16,4,12,5,Test,Batting
SE Gregory (Aus),1890-1912,58,100,7,2282,201,24.53,4,8,12,Test,Batting
MJK Smith (Eng),1958-1972,50,78,6,2278,121,31.63,3,11,11,Test,Batting
RG Pollock (SA),1963-1970,23,41,4,2256,274,60.97,7,11,1,Test,Batting
AW Nourse (SA),1902-1924,45,83,8,2234,111,29.78,1,15,3,Test,Batting
Harbhajan Singh (India),1998-2015,103,145,23,2224,115,18.22,2,9,19,Test,Batting
CA Pujara (India),2010-2015,28,50,5,2218,206*,49.28,7,6,2,Test,Batting
GJ Whittall (Zim),1993-2002,46,82,7,2207,203*,29.42,4,10,6,Test,Batting
